id,created_date,closing_date,current_price,side,sale_kind,payment_token,payment_token_contract,base_price,creator_fee,description,external_link,image_url,animation_url,sale_duration
1416465754,2021-10-31T12:44:38.584818,2021-10-31T16:44:33,1.826e+17,0,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4210.239999999999782000'}",182600000000000000,750.0,"Galaxy Eggs by Gal Barkan - a collection of 9,999 eggs of the metaverse.",,https://lh3.googleusercontent.com/VBd7qjNJC7TaayRJxb-S0oz_1llA3Gwm5o5Njg660mKdyXSI1ID1PXStTQ4FoltHPvmK-9D0P69UA8HzrQTT0oeFVWuNYHLTGEqFylQ,,0 days 03:59:54.415182
1416465753,2021-10-31T12:44:38.568985,2021-10-31T16:44:37,1.474e+17,0,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4210.239999999999782000'}",147400000000000000,500.0,This item is Genesis Mana used in Loot (for Adventurers),,https://storage.opensea.io/files/05fda952872de69c3b1781d69d5eae85.svg,,0 days 03:59:58.431015
1416465751,2021-10-31T12:44:38.561612,2021-10-31T22:44:20,1.0064e+18,0,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4210.239999999999782000'}",1006400000000000000,650.0,"Lazy Lions is a collection of 10,000 unique NFTs. Note to self: remember to finish this later.",https://www.lazylionsnft.com/,https://lh3.googleusercontent.com/7ae18I-cwTeyzPTbudyfjLnuX08T-_iH8TPauhr3Aer9kj5dp1f7s6vyPFLslO1mRuAEha1-gDxtFLhWwYk2HJDerUqpOYnRlFD2KQ,,0 days 09:59:41.438388
1416465750,2021-10-31T12:44:38.558794,2021-10-31T14:00:00,2.95396e+18,0,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4210.239999999999782000'}",2953960000000000000,500.0,,,https://lh3.googleusercontent.com/K-7i2-HWwCm5MKtrMMqnRTjQcal1Gki5Xv0xi_Z0rijhKGuFOyc9Dv6BNmHCIpmQVDDiSKL_dDyOkQm7wCwqLeB_XjLHZX_5tq8U,,0 days 01:15:21.441206
1416465748,2021-10-31T12:44:38.548862,2021-10-31T16:44:29,3.426e+17,0,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4210.239999999999782000'}",342600000000000000,1250.0,"10,000 nouns needing head on the Ethereum blockchain. Each Head grants access to the exclusive DAO community and voting rights over the DAO's assets.",,https://storage.opensea.io/files/68bbbcdc1e7401f869c914755e8d018d.svg,,0 days 03:59:50.451138
1416465747,2021-10-31T12:44:38.544799,2021-10-31T14:44:36,2.509e+18,0,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4210.239999999999782000'}",2509000000000000000,750.0,"Loot is randomized adventurer gear generated and stored on chain. Stats, images, and other functionality are intentionally omitted for others to interpret. Feel free to use Loot in any way you want.",,https://storage.opensea.io/files/5665f5e3138d4eb02c1a9e3de61aad0f.svg,,0 days 01:59:57.455201
1416465746,2021-10-31T12:44:38.543817,2021-10-31T16:44:37,1.0824999999999997e+18,0,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4210.239999999999782000'}",1082499999999999800,550.0,"A collection 8,888 Cute Chubby Pudgy Penquins sliding around on the freezing ETH blockchain.",,https://lh3.googleusercontent.com/fKHi7q6-rjfFn5esCkpotKaSk-TvsmghGis80yzGvWMpzuDbsPblGD3PiQaZDFSWQTnXMVDYTonlq8KwceENvfx8evEffkrBH_Pz,,0 days 03:59:58.456183
1416465745,2021-10-31T12:44:38.536475,2021-10-31T16:44:37,3.1062e+18,0,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4210.239999999999782000'}",3106200000000000000,250.0,Meebit #12280,,https://lh3.googleusercontent.com/G5AkT5ZsUGdVkrwedckpPdWXxCCiYhvumlCE7X0rsmG7TToxCzOaGYwjgxJsw7ozCeZxovlzrU-qgIZuH9GS9QRYvcIEaZFgSn1b3A,,0 days 03:59:58.463525
1416465744,2021-10-31T12:44:38.534930,2021-10-31T16:44:37,2.773e+17,0,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4210.239999999999782000'}",277300000000000000,250.0,,,https://lh3.googleusercontent.com/BV4fU9uG7xnhpY0JM_VgVEFxd-Ck8h7hkqHcoKQu6uOAWnEzKnf3iVkax76oW4pwkCDBD0THXmMwXjcaT-i5pPMuoL5jpvqF9xvnPQ,,0 days 03:59:58.465070
1416465742,2021-10-31T12:44:38.530214,2021-10-31T16:44:37,1.396e+17,0,0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"{'id': 2, 'symbol': 'WETH', 'address': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'image_url': 'https://storage.opensea.io/files/accae6b6fb3888cbff27a013729c22dc.svg', 'name': 'Wrapped Ether', 'decimals': 18, 'eth_price': '1.000000000000000', 'usd_price': '4210.239999999999782000'}",139600000000000000,750.0,"Animetas is a generative collection of 10101 unique 1/1 NFTs that live on the Ethereum Blockchain. The collection was designed by Gustavo Viselner and generated by cyberh49. Besides being residents of the Animetaverse, and members of the best community in the NFT space, Animetas owners can participate in unprecedented exclusive community events and challenges. Animetas owners will be granted access to our future Animetas-themed arcade world. For more info about Animetas, visit - www.animetas.io",,https://lh3.googleusercontent.com/dS45u03HzX0fjyr50TnAQofqP7CggUf3BHmq1xXlW780lZmsQduUrhK88uWoVG3OTDbJsntSya32jxC9Rziw0Dp4LVZzPEwUbm18JA,,0 days 03:59:58.469786
